source_id,family,cutoff_MeV,full_D_macro_count,full_D_E_max_MeV,full_D_weight_total,full_D_weight_above_9p8,full_D_weight_frac_above_9p8,full_neutron_Y_total,full_neutron_E_mean_MeV,full_neutron_E_max_MeV,full_neutron_frac_E_gt_4MeV,high_component_neutron_Y_total,high_component_neutron_E_mean_MeV,high_component_neutron_E_max_MeV,high_component_neutron_frac_E_gt_4MeV,neutron_loss_per_shot,neutron_loss_fraction,full_Li7_TPR_per_source_neutron,full_Li7_TPR_rel_err,high_component_Li7_TPR_per_source_neutron,high_component_Li7_TPR_rel_err,full_Li7_T_per_shot,Li7_loss_per_shot,Li7_loss_fraction,full_caseB_statepoint,high_component_caseB_statepoint,full_neutron_h5,high_component_neutron_h5
pic2d_a0_20_t_3um,pic2d,9.8,327699.0,19.1387348,5.21696808e+17,253128000000000.0,0.00048520135856380397,3535601271996.5234,3.044204916689325,12.097112592965054,0.11183409782915676,110549618352.09961,5.49402201697268,12.810324903943654,0.6502284748677646,110549618352.09961,0.0312675581456823,0.007024374556817478,0.00037947454176446476,0.07371158927570025,9.675995336552959e-05,24835387618.063892,8148788062.555381,0.3281119742471183,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_20_t_3um_li6_7p59_pstar/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/cutoff_9p8MeV_sensitivity/openmc_runs/caseB_pic2d_a0_20_t_3um_Ed_gt_9p8MeV_component_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_20_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/cutoff_9p8MeV_sensitivity/pic2d_a0_20_t_3um/neutron_source_pstar_Ed_gt_9p8MeV_component.h5
param_kT4_theta20_Emax40_highstat,parametric_highstat,9.8,1000000.0,39.854485457755224,1000000000000.0,88265000000.0,0.088265,118923741.79068498,3.485554960864061,5.804733773382021,0.34101101415289653,38544757.01001269,5.483725936481332,12.823709276230815,0.6491134650867808,38544757.01001269,0.3241132210408789,0.01407390949812847,0.000162221542779623,0.07320631521963927,9.585191932512875e-05,1673721.979140899,2821719.6317393896,1.6858950691367176,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/cutoff_9p8MeV_sensitivity/openmc_runs/caseB_param_kT4_theta20_Emax40_highstat_full_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/cutoff_9p8MeV_sensitivity/openmc_runs/caseB_param_kT4_theta20_Emax40_highstat_Ed_gt_9p8MeV_component_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/cutoff_9p8MeV_sensitivity/param_kT4_theta20_Emax40_highstat/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/cutoff_9p8MeV_sensitivity/param_kT4_theta20_Emax40_highstat/neutron_source_pstar_Ed_gt_9p8MeV_component.h5
