source_id,family,neutron_h5,deuteron_h5,kT_MeV,theta_max_deg,E_max_MeV,source_N,source_weight_sum_shape_only,source_E_mean_MeV,source_E_max_MeV,frac_E_gt_2p82,frac_E_gt_3p1454,frac_E_gt_4MeV,li7_mt205_fluxavg_b,frac_mu_gt_0p8,frac_E_gt_2p82_mu_gt_0p8,frac_E_gt_3p1454_mu_gt_0p8,li6_atpct,CaseA_statepoint,CaseAprime_statepoint,CaseB_statepoint,A_TPR_Li6_per_n,A_TPR_Li6_std,A_TPR_Li6_rel_err,A_TPR_Li7_per_n,A_TPR_Li7_std,A_TPR_Li7_rel_err,A_TPR_total_per_n,A_TPR_total_std,A_TPR_total_rel_err,Aprime_TPR_Li6_per_n,Aprime_TPR_Li6_std,Aprime_TPR_Li6_rel_err,Aprime_TPR_Li7_per_n,Aprime_TPR_Li7_std,Aprime_TPR_Li7_rel_err,Aprime_TPR_total_per_n,Aprime_TPR_total_std,Aprime_TPR_total_rel_err,B_TPR_Li6_per_n,B_TPR_Li6_std,B_TPR_Li6_rel_err,B_TPR_Li7_per_n,B_TPR_Li7_std,B_TPR_Li7_rel_err,B_TPR_total_per_n,B_TPR_total_std,B_TPR_total_rel_err,ratio_Aprime_over_A_Li6,ratio_B_over_Aprime_Li6,ratio_B_over_A_Li6,ratio_closure_product_minus_B_over_A_Li6,ratio_Aprime_over_A_Li7,ratio_B_over_Aprime_Li7,ratio_B_over_A_Li7,ratio_closure_product_minus_B_over_A_Li7,ratio_Aprime_over_A_total,ratio_B_over_Aprime_total,ratio_B_over_A_total,ratio_closure_product_minus_B_over_A_total
pic2d_a0_10_t_1um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_1um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_1um/deuteron_beam.h5,,,,15325,81317610815.37402,2.9724071425756833,7.344058757890407,0.467975304050454,0.29990547726222894,0.12356477531849505,0.01914668320930985,0.13233821169236987,0.13049404468435696,0.10902809863431949,7.59,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_10_t_1um_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_10_t_1um_li6_7p59_pstar/statepoint.100.h5,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.0,0.0,,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.010334287243386184,1.0689799313024473e-06,0.00010344012181261762,0.006320956674464674,2.0437100301455433e-06,0.0003233228980039839,0.016655243917850858,2.3063973597029813e-06,0.00013847875006087524,0.010339644784901948,1.066366223872707e-06,0.00010313373873634669,0.006493199550240553,2.2279697568995643e-06,0.0003431235617603998,0.0168328443351425,2.4700174414517075e-06,0.00014673797204284533,0.923532814057562,1.0005184239018703,0.9240115955425309,1.1102230246251565e-16,,1.0272494947595043,,,1.4884107555760047,1.0106633333121764,1.50428217556814,0.0
pic2d_a0_10_t_1um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_1um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_1um/deuteron_beam.h5,,,,15325,81317610815.37402,2.9724071425756833,7.344058757890407,0.467975304050454,0.29990547726222894,0.12356477531849505,0.01914668320930985,0.13233821169236987,0.13049404468435696,0.10902809863431949,90.0,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_10_t_1um_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_10_t_1um_li6_90_pstar/statepoint.100.h5,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.0,0.0,,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.1263136748990212,1.177596871042021e-05,9.322797962955523e-05,0.0007310874238075414,2.381717508695343e-07,0.0003257773873733505,0.12704476232282874,1.1778377004142299e-05,9.271044936282143e-05,0.12642064945336398,1.2847669912105416e-05,0.00010162635588140104,0.0007501796454265022,2.6198504019539603e-07,0.00034922973689381935,0.1271708290987905,1.2850340786598033e-05,0.0001010478651249137,0.9843345836764853,1.0008468960659114,0.9851682127629413,1.1102230246251565e-16,,1.026114827033308,,,0.9900317865764879,1.000992302033211,0.9910141971312513,0.0
pic2d_a0_10_t_2um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_2um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_2um/deuteron_beam.h5,,,,90244,324583508387.0142,2.663185656374662,5.384552315526208,0.3663036199964401,0.15785413678169075,0.0031229519428185525,0.0006549601498116582,0.12297980688058632,0.11893300222607106,0.08481421750474369,7.59,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_10_t_2um_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_10_t_2um_li6_7p59_pstar/statepoint.100.h5,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.0,0.0,,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.010706210950799853,1.1321570592001898e-06,0.0001057476883654723,0.00020235848078871437,2.288567167089943e-07,0.0011309469996859047,0.010908569431588567,1.1550562771915674e-06,0.00010588522027891256,0.01070674824596365,1.099426229543347e-06,0.0001026853536000364,0.00020580574162887576,2.1840039513261262e-07,0.0010611968033741666,0.010912553987592527,1.1209089020977493e-06,0.0001027173751783691,0.9567701085156092,1.0000501853705543,0.9568181243780403,1.1102230246251565e-16,,1.0170354156975547,,,0.9748540549755663,1.0003652684276292,0.9752101383833952,0.0
pic2d_a0_10_t_2um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_2um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_2um/deuteron_beam.h5,,,,90244,324583508387.0142,2.663185656374662,5.384552315526208,0.3663036199964401,0.15785413678169075,0.0031229519428185525,0.0006549601498116582,0.12297980688058632,0.11893300222607106,0.08481421750474369,90.0,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_10_t_2um_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_10_t_2um_li6_90_pstar/statepoint.100.h5,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.0,0.0,,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.1296721534648465,1.18878586429944e-05,9.167626452827546e-05,2.3563833075970422e-05,2.643101621616668e-08,0.0011216772810668104,0.12969571729792248,1.1887888025820015e-05,9.16598348310337e-05,0.12975723532814668,1.2884877580764965e-05,9.929987756120143e-05,2.392487982946861e-05,2.576139173129951e-08,0.0010767615935762755,0.12978116020797614,1.2884903333770244e-05,9.928177027483807e-05,1.0105064657274259,1.0006561305648651,1.0111694899055834,0.0,,1.0153220722763636,,,1.0106900934766716,1.000658795154025,1.0113559312124751,-2.220446049250313e-16
pic2d_a0_05_t_3um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_05_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_05_t_3um/deuteron_beam.h5,,,,274144,1635224061485.1782,2.7288918994874334,4.866944285927508,0.4189956991382184,0.22739572152242493,0.008165847810837736,0.001263127134239595,0.12831719138173692,0.12518611997837772,0.10147445667583285,7.59,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_05_t_3um_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_05_t_3um_li6_7p59_pstar/statepoint.100.h5,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.0,0.0,,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.010583192408149398,1.112437075265111e-06,0.00010511356425954222,0.0003751520396605,1.8799598352737738e-07,0.0005011194493238193,0.010958344447809899,1.1282104131086631e-06,0.00010295445799152114,0.010581176301571595,1.142608418529867e-06,0.00010798500903535256,0.00038129498244266277,1.8286989822173625e-07,0.00047960216274085197,0.010962471284014258,1.1571496868473639e-06,0.0001055555501007102,0.9457764465242662,0.9998094992040162,0.9455962753583805,0.0,,1.0163745418730015,,,0.9793022437783371,1.0003765930359292,0.9796710421834139,-1.1102230246251565e-16
pic2d_a0_05_t_3um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_05_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_05_t_3um/deuteron_beam.h5,,,,274144,1635224061485.1782,2.7288918994874334,4.866944285927508,0.4189956991382184,0.22739572152242493,0.008165847810837736,0.001263127134239595,0.12831719138173692,0.12518611997837772,0.10147445667583285,90.0,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_05_t_3um_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_05_t_3um_li6_90_pstar/statepoint.100.h5,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.0,0.0,,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.12911070477373504,1.145874707047801e-05,8.87513323589963e-05,4.400115346664231e-05,2.2209256578710994e-08,0.0005047425994309,0.12915470592720169,1.1458768593364042e-05,8.872126269888145e-05,0.12913365530229928,1.1638398305566556e-05,9.012676268104779e-05,4.4653652621416314e-05,2.217829331882196e-08,0.0004966736653517352,0.1291783089549207,1.1638419437179133e-05,9.009577173858644e-05,1.0061312200221393,1.0001777585259446,1.0063100684247173,0.0,,1.0148291374967857,,,1.0064741112974782,1.0001827500403455,1.0066580444819246,0.0
pic2d_a0_10_t_3um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_3um/deuteron_beam.h5,,,,286401,1748343226585.8813,2.7352293080275456,5.008063363349057,0.42319997042691015,0.23284868218910568,0.010134260980341918,0.0014149610615530688,0.12899078457451355,0.1258539653799429,0.1026964700236237,7.59,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_10_t_3um_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_10_t_3um_li6_7p59_pstar/statepoint.100.h5,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.0,0.0,,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.010572807133522743,1.1035410403612931e-06,0.00010437540630646172,0.00041986864029363376,2.0457910887573674e-07,0.0004872455078632808,0.010992675773816378,1.1223437261151665e-06,0.00010209922945134925,0.010570056008857165,1.1324909434330986e-06,0.00010714143259828796,0.00042678456235131654,2.022030001748883e-07,0.0004737823670586302,0.01099684057120848,1.1504007085523354e-06,0.00010461192931761435,0.9448483571771413,0.9997397924098269,0.9446025004630413,0.0,,1.0164716327774472,,,0.9823702934048252,1.0003788702112022,0.9827424842453663,0.0
pic2d_a0_10_t_3um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_10_t_3um/deuteron_beam.h5,,,,286401,1748343226585.8813,2.7352293080275456,5.008063363349057,0.42319997042691015,0.23284868218910568,0.010134260980341918,0.0014149610615530688,0.12899078457451355,0.1258539653799429,0.1026964700236237,90.0,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_10_t_3um_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_10_t_3um_li6_90_pstar/statepoint.100.h5,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.0,0.0,,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.12905563707943618,1.134298694213179e-05,8.789222384102423e-05,4.929890503208382e-05,2.4134038820637612e-08,0.0004895451289421365,0.12910493598446826,1.1343012616637703e-05,8.785886093466096e-05,0.12906441955810416,1.1893264888608882e-05,9.21498343953315e-05,5.003752556531082e-05,2.4580073618219873e-08,0.0004912327965965674,0.12911445708366948,1.1893290288672682e-05,9.211431901050031e-05,1.0057020896371274,1.000068051879536,1.0057705295545805,0.0,,1.0149824936831011,,,1.0060862651208924,1.0000737469805365,1.0061604609451043,0.0
pic2d_a0_15_t_3um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_15_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_15_t_3um/deuteron_beam.h5,,,,307731,2268743045143.789,2.791709780515346,8.741113044445768,0.446862625337478,0.2686882196500359,0.029860215412920766,0.0037796900086186245,0.13234143932359121,0.12983595403920745,0.11060857095497686,7.59,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_15_t_3um_li6_7p59/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_15_t_3um_li6_7p59_pstar/statepoint.100.h5,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.0,0.0,,0.01118995133262484,1.1031436948837272e-06,9.85834220446928e-05,0.010497461439636334,1.1265618432592502e-06,0.00010731755003219883,0.0011992530873659426,7.936226911306346e-07,0.0006617641426079288,0.011696714527002276,1.3780343110986423e-06,0.00011781379360139138,0.01049525273753181,1.1370912375841929e-06,0.00010834338781741477,0.0012269890408518837,7.428806622219521e-07,0.0006054501201625884,0.011722241778383694,1.3582518768233223e-06,0.00011586963504950015,0.938115021915286,0.9997895965498683,0.9379176392780546,0.0,,1.0231276898747543,,,1.0452873457009544,1.0021824292045847,1.047568611331395,0.0
pic2d_a0_15_t_3um,pic2d,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_15_t_3um/neutron_source_pstar.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/stageB_inputs_7points/pic2d_a0_15_t_3um/deuteron_beam.h5,,,,307731,2268743045143.789,2.791709780515346,8.741113044445768,0.446862625337478,0.2686882196500359,0.029860215412920766,0.0037796900086186245,0.13234143932359121,0.12983595403920745,0.11060857095497686,90.0,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseA_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_c1_20260706/part1_3_decomposition/openmc_runs/caseAprime_pic2d_a0_15_t_3um_li6_90p0/statepoint.100.h5,/Volumes/billboom/paperwork/no6/stageB_inputs_20260706/openmc_pstar_20260706/caseB_prod_pic2d_a0_15_t_3um_li6_90_pstar/statepoint.100.h5,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.0,0.0,,0.12832392257035224,9.391776414603093e-06,7.318804028496051e-05,0.12843896779851274,1.183794952645463e-05,9.216789677900003e-05,0.00013986258447392763,9.162513584117986e-08,0.0006551082706344533,0.12857883038298668,1.1838304108123143e-05,9.207039815855695e-05,0.12844459507278497,1.2751937394564837e-05,9.927967297758827e-05,0.00014287600974538923,8.713064453803553e-08,0.0006098339720804481,0.12858747108253035,1.2752235061514459e-05,9.917167632396927e-05,1.0008965220658481,1.0000438128269689,1.0009403741719831,0.0,,1.0215456140954078,,,1.0019864403108054,1.0000672015721246,1.002053775374842,-2.220446049250313e-16
