source_id,a0,thickness_um,DD_neutron_Y_per_shot,n_E_weighted_mean_MeV,n_weight_frac_E_gt_3p1454,CaseB_TPR_Li6_per_n,CaseB_TPR_Li6_rel_err,CaseB_TPR_Li7_per_n,CaseB_TPR_Li7_rel_err,T_total_natural_per_shot,CaseB_T_Li_total_split_per_shot_rel_to_a10_t3,Li7_fraction_natural,T_total_li6_90_per_shot,Li7_fraction_li6_90,D_macro_Egt0p4,D_weight_Egt0p4_per_shot,D_E_weighted_mean_MeV,D_E_max_MeV,D_weight_frac_mu_gt_0p8,CaseB_T_Li6_per_shot,CaseB_T_Li7_per_shot,CaseB_TPR_Li_total_split_rel_err,last_window_ddn_frac,E_yield_weighted_mean_MeV,T_total_li6_90_over_natural,scan_family,plot_order
pic2d_a0_10_t_1um,10.0,1.0,395518193719.504,3.0758510188695816,0.347722657758171,0.0102230877015473,0.00115802657429,0.0086925321661484,0.0030578301918953,7481471803.155767,0.0841188398371581,0.4595425488008246,50025513838.236435,0.007934065598229,15325.0,2.43974e+16,0.5779052373707667,6.01519282,0.9976508972267536,4043417181.952064,3438054621.203703,0.001538278764289,0.0001394386037648,1.7258726861691165,6.686587232359162,thickness_scan,0
pic2d_a0_10_t_2um,10.0,2.0,1367008411335.6963,2.682053468865432,0.1786053001962969,0.0106744418331966,0.0008977249751534,0.0002778448626878,0.0085615189823942,14971868036.634016,0.1683380225940902,0.025368662307955,177082643669.08243,0.0002493167757466,90244.0,1.43668448e+17,0.544332248457759,4.15142182,0.9658259828908292,14592051772.293385,379816264.34063417,0.0009015056421602,0.0017369651034974,0.5906647641837427,11.827691991125395,thickness_scan,1
pic2d_a0_05_t_3um,5.0,3.0,7507302090076.475,2.7492802466596102,0.2494002839741477,0.0105478048209543,0.0009329336493795,0.0004466735617499,0.0048728655754747,82538870541.77586,0.9280358483092742,0.0406270808129085,967066095839.4436,0.000406456815872,274144.0,4.36437248e+17,0.6813975736735073,2.00066203,0.9204833955877204,79185557178.06894,3353313363.7069273,0.0009166641864792,0.0016590910476718,0.7043829433271567,11.716492962548802,a0_scan,2
pic2d_a0_10_t_3um,10.0,3.0,8060015782973.083,2.756170071540481,0.2558506301583501,0.0105347875055248,0.000888876909904,0.0004998450720651,0.0048006205359433,88939312734.68353,1.0,0.0452978446314768,1037824533976.6732,0.0004554900701301,286401.0,4.55950392e+17,0.6877147124408226,2.15669103,0.9216587930908062,84910553564.79752,4028759169.886025,0.000876031618335,0.0009440084828717,0.71667699307762,11.668906606830056,baseline,3
pic2d_a0_15_t_3um,15.0,3.0,10827489548304.078,2.8221895160309622,0.293669555582299,0.0104489279760168,0.0008952153928552,0.0015144150307385,0.0065707987769043,129532971368.41972,1.4564197471913445,0.1265879470214437,1387842412520.628,0.0013761786558837,307731.0,4.89907752e+17,0.7402168736711836,7.39191482,0.9254153790160888,113135658451.304,16397312917.115707,0.0011415863819107,0.0004492095187073,0.886823003951174,10.714201935299583,a0_scan,4
pic2d_a0_20_t_3um,20.0,3.0,18174938224692.023,3.127103700321202,0.3856626485438041,0.0101224488492187,0.0010523874473608,0.0087833866004872,0.0034244082701958,343612391384.5973,3.863447791750242,0.4645860069952018,2286870678856.499,0.0079983172375191,327699.0,5.21696808e+17,0.845009587456965,19.1387348,0.9329354071876936,183974882517.15472,159637508867.44254,0.0016877664724786,0.0002010085474072,1.90949889378127,6.655378956624583,a0_scan,5
pic2d_a0_10_t_4um,10.0,4.0,24527587359530.72,2.8568872106801524,0.3292617401832163,0.010392560985388,0.0010303315529646,0.001447143453941,0.0034444180153183,290399384946.6657,3.265140869853147,0.1222280050449481,3137690515685.3516,0.0013346133005163,468820.0,7.4636144e+17,0.8824354542906296,2.7593808,0.896056055629026,254904447458.35483,35494937488.3109,0.0009975856413114,0.0005687714590463,0.953200174175108,10.804742290558277,thickness_scan,6
