source_id,a0,thickness_um,DD_neutron_Y_per_shot,n_E_weighted_mean_MeV,n_weight_frac_E_gt_3p1454,CaseB_TPR_Li6_per_n,CaseB_TPR_Li6_rel_err,CaseB_TPR_Li7_per_n,CaseB_TPR_Li7_rel_err,CaseB_T_Li_total_split_per_shot,CaseB_T_Li_total_split_per_shot_rel_to_a10_t3,CaseB_Li7_fraction_of_Li_total
pic2d_a0_10_t_1um,10.0,1.0,395518193719.504,3.0758510188695816,0.347722657758171,0.1254774342063634,0.0009534417563864,0.00100350809313,0.0031243395777031,50025513838.236435,0.048202284876183936,0.007934065598229019
pic2d_a0_10_t_2um,10.0,2.0,1367008411335.6963,2.682053468865432,0.1786053001962969,0.1295079770740685,0.0007454633243696,3.2296563352624936e-05,0.0082849630077114,177082643669.08243,0.17062869287792598,0.0002493167757466835
pic2d_a0_05_t_3um,5.0,3.0,7507302090076.475,2.7492802466596102,0.2494002839741477,0.1287643701605118,0.0008827896827007,5.235843733693506e-05,0.0048525570056967,967066095839.4437,0.9318204226044825,0.0004064568158720455
pic2d_a0_10_t_3um,10.0,3.0,8060015782973.083,2.756170071540481,0.2558506301583501,0.1287034471319935,0.000904608325324,5.864985658743514e-05,0.0047751214881686,1037824533976.6732,1.0,0.00045549007013015956
pic2d_a0_15_t_3um,15.0,3.0,10827489548304.078,2.8221895160309622,0.293669555582299,0.1280012774181682,0.0008871080210916,0.0001763953774622,0.0064415286245308,1387842412520.628,1.3372611333466722,0.0013761786558837677
pic2d_a0_20_t_3um,20.0,3.0,18174938224692.023,3.127103700321202,0.3856626485438041,0.1248191071485342,0.0009548673349758,0.0010063922608455,0.0034549297302809,2286870678856.499,2.2035234319368096,0.00799831723751917
pic2d_a0_10_t_4um,10.0,4.0,24527587359530.72,2.8568872106801524,0.3292617401832163,0.1277542249165662,0.0009280112112201,0.0001707303467624,0.0033367060875143,3137690515685.3516,3.023334304559692,0.0013346133005163702
