source_id,n_rows,weight_sum,E_mean_weighted_MeV,E_max_MeV,weight_frac_mu_gt_0p8,time_min_fs,time_max_fs
pic2d_a0_05_t_3um,274144.0,4.36437248e+17,0.6813975736735073,2.00066203,0.9204833955877204,1750.02748,6000.04041
pic2d_a0_10_t_1um,15325.0,2.43974e+16,0.5779052373707667,6.01519282,0.9976508972267536,750.005051,6000.04041
pic2d_a0_10_t_2um,90244.0,1.43668448e+17,0.544332248457759,4.15142182,0.9658259828908292,750.005051,6000.04041
pic2d_a0_10_t_3um,286401.0,4.55950392e+17,0.6877147124408226,2.15669103,0.9216587930908062,1250.0398,6000.04041
pic2d_a0_10_t_4um,468820.0,7.4636144e+17,0.8824354542906296,2.7593808,0.896056055629026,1500.0101,6000.04041
pic2d_a0_15_t_3um,307731.0,4.89907752e+17,0.7402168736711836,7.39191482,0.9254153790160888,750.005051,6000.04041
pic2d_a0_20_t_3um,327699.0,5.21696808e+17,0.845009587456965,19.1387348,0.9329354071876936,500.034751,6000.04041
pic3d_anchor_a0_10_t_3um_0to6ps_available,1545758.0,393735477760.0,0.4682532377846726,1.30732421,0.9517595897934864,1250.04036,6000.01808
