source_id,a0,thickness_um,DD_neutron_Y_per_shot,n_E_weighted_mean_MeV,n_weight_frac_E_gt_3p1454,CaseB_TPR_Li6_per_n,CaseB_TPR_Li6_rel_err,CaseB_TPR_Li7_per_n,CaseB_TPR_Li7_rel_err,CaseB_T_Li_total_split_per_shot,CaseB_T_Li_total_split_per_shot_rel_to_a10_t3,CaseB_Li7_fraction_of_Li_total
pic2d_a0_10_t_1um,10.0,1.0,395518193719.504,3.0758510188695816,0.347722657758171,0.0102230877015473,0.00115802657429,0.0086925321661484,0.0030578301918953,7481471803.155767,0.08411883983715819,0.4595425488008246
pic2d_a0_10_t_2um,10.0,2.0,1367008411335.6963,2.682053468865432,0.1786053001962969,0.0106744418331966,0.0008977249751534,0.0002778448626878,0.0085615189823942,14971868036.634016,0.16833802259409025,0.025368662307955037
pic2d_a0_05_t_3um,5.0,3.0,7507302090076.475,2.7492802466596102,0.2494002839741477,0.0105478048209543,0.0009329336493795,0.0004466735617499,0.0048728655754747,82538870541.77586,0.9280358483092742,0.040627080812908584
pic2d_a0_10_t_3um,10.0,3.0,8060015782973.083,2.756170071540481,0.2558506301583501,0.0105347875055248,0.000888876909904,0.0004998450720651,0.0048006205359433,88939312734.68353,1.0,0.04529784463147684
pic2d_a0_15_t_3um,15.0,3.0,10827489548304.078,2.8221895160309622,0.293669555582299,0.0104489279760168,0.0008952153928552,0.0015144150307385,0.0065707987769043,129532971368.41971,1.4564197471913445,0.12658794702144377
pic2d_a0_20_t_3um,20.0,3.0,18174938224692.023,3.127103700321202,0.3856626485438041,0.0101224488492187,0.0010523874473608,0.0087833866004872,0.0034244082701958,343612391384.5973,3.863447791750242,0.46458600699520186
pic2d_a0_10_t_4um,10.0,4.0,24527587359530.72,2.8568872106801524,0.3292617401832163,0.010392560985388,0.0010303315529646,0.001447143453941,0.0034444180153183,290399384946.6657,3.2651408698531474,0.12222800504494814
