sdf,time_fs,probe,E_min_MeV,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight,run_id,a0,thickness_um,gate
0005.sdf,1500.0101,D_rear05,0.4,4337.0,6904504000000000.0,0.606451809,1.26250617,83325891520.0,1.206833851e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0005.sdf,1500.0101,D_rear10,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0005.sdf,1500.0101,D_rear15,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0005.sdf,1500.0101,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0006.sdf,1750.02748,D_rear02,0.4,18431.0,2.9342152e+16,0.501651254,1.15068438,217311389400.0,7.406116272e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0006.sdf,1750.02748,D_rear05,0.4,16966.0,2.7009872e+16,0.58462016,1.35241334,302921003900.0,1.121519583e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0006.sdf,1750.02748,D_rear10,0.4,37.0,58904000000000.0,1.08225032,1.33980024,2601574679.0,4.416634997e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0006.sdf,1750.02748,D_rear15,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0006.sdf,1750.02748,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0007.sdf,2000.04485,D_rear02,0.4,29147.0,4.6402024e+16,0.525099064,1.12431513,389727605400.0,8.398935472e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0007.sdf,2000.04485,D_rear05,0.4,28549.0,4.5450008e+16,0.598225442,1.39047332,544842464700.0,1.198773089e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0007.sdf,2000.04485,D_rear10,0.4,1711.0,2723912000000000.0,0.929703796,1.83557216,88283884850.0,3.24106964e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0007.sdf,2000.04485,D_rear15,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0007.sdf,2000.04485,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0008.sdf,2250.01515,D_rear02,0.4,33605.0,5.349916e+16,0.543273267,1.15471235,494269352700.0,9.238824548e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0008.sdf,2250.01515,D_rear05,0.4,38245.0,6.088604e+16,0.614727539,1.51186582,785913721700.0,1.290794609e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0008.sdf,2250.01515,D_rear10,0.4,9540.0,1.518768e+16,0.855605341,2.00066203,423915385300.0,2.791179333e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0008.sdf,2250.01515,D_rear15,0.4,57.0,90744000000000.0,1.19365408,1.49450996,4987167740.0,5.495865004e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0008.sdf,2250.01515,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0009.sdf,2500.03253,D_rear02,0.4,31670.0,5.041864e+16,0.560162739,1.32355834,506994355900.0,1.005569281e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0009.sdf,2500.03253,D_rear05,0.4,42779.0,6.8104168e+16,0.614434558,1.55351096,880052928000.0,1.29221596e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0009.sdf,2500.03253,D_rear10,0.4,22127.0,3.5226184e+16,0.796964484,1.78707208,855718996700.0,2.429212874e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0009.sdf,2500.03253,D_rear15,0.4,1331.0,2118952000000000.0,1.09190861,1.98231013,98788406480.0,4.662135173e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0009.sdf,2500.03253,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0010.sdf,2750.00283,D_rear02,0.4,27237.0,4.3361304e+16,0.570878452,1.44552973,459547973300.0,1.059811239e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0010.sdf,2750.00283,D_rear05,0.4,40665.0,6.473868e+16,0.613624403,1.47682284,835139812200.0,1.290016745e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0010.sdf,2750.00283,D_rear10,0.4,32611.0,5.1916712e+16,0.757181357,1.93077982,1134701194000.0,2.185618368e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0010.sdf,2750.00283,D_rear15,0.4,6627.0,1.0550184e+16,1.0209152,2.08189098,436716104300.0,4.139416946e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0010.sdf,2750.00283,D_rear20,0.4,98.0,156016000000000.0,1.24297543,1.82176549,9495589661.0,6.086292214e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0011.sdf,3000.0202,D_rear02,0.4,21174.0,3.3709008e+16,0.576431349,1.47335637,366972975000.0,1.088649583e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0011.sdf,3000.0202,D_rear05,0.4,35125.0,5.5919e+16,0.606380656,1.54547633,701525029900.0,1.254537867e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0011.sdf,3000.0202,D_rear10,0.4,38258.0,6.0906736e+16,0.722608931,1.81520314,1196816929000.0,1.964999288e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0011.sdf,3000.0202,D_rear15,0.4,15893.0,2.5301656e+16,0.938692939,2.16919938,885069414300.0,3.498069116e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0011.sdf,3000.0202,D_rear20,0.4,1334.0,2123728000000000.0,1.18939813,2.10620281,120161130700.0,5.658028272e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0012.sdf,3250.03758,D_rear02,0.4,14944.0,2.3790848e+16,0.575127237,1.30381593,257231976600.0,1.081222395e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0012.sdf,3250.03758,D_rear05,0.4,27885.0,4.439292e+16,0.602708935,1.56465648,548951592600.0,1.236574644e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0012.sdf,3250.03758,D_rear10,0.4,37983.0,6.0468936e+16,0.690635725,1.79490174,1062267896000.0,1.756716699e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0012.sdf,3250.03758,D_rear15,0.4,24103.0,3.8371976e+16,0.86808377,2.03711824,1144672204000.0,2.983094236e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0012.sdf,3250.03758,D_rear20,0.4,5566.0,8861072000000000.0,1.11298998,2.25098533,441880766200.0,4.9867642e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0013.sdf,3500.00788,D_rear02,0.4,10303.0,1.6402376e+16,0.569190396,1.29042095,172490985000.0,1.051621942e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0013.sdf,3500.00788,D_rear05,0.4,20492.0,3.2623264e+16,0.592646614,1.38847318,385719303900.0,1.182344305e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0013.sdf,3500.00788,D_rear10,0.4,33849.0,5.3887608e+16,0.661571797,1.73581288,851122978100.0,1.579441006e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0013.sdf,3500.00788,D_rear15,0.4,29069.0,4.6277848e+16,0.801936762,2.07331418,1159629029000.0,2.505797221e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0013.sdf,3500.00788,D_rear20,0.4,12584.0,2.0033728e+16,1.01910109,2.15598147,834284774500.0,4.164401027e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0014.sdf,3750.02525,D_rear02,0.4,6816.0,1.0851072e+16,0.55612245,1.27426846,106961791400.0,9.857255708e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0014.sdf,3750.02525,D_rear05,0.4,14310.0,2.278152e+16,0.58217695,1.3860004,257143811700.0,1.128738608e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0014.sdf,3750.02525,D_rear10,0.4,27852.0,4.4340384e+16,0.637127856,1.87517571,636749539500.0,1.436048771e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0014.sdf,3750.02525,D_rear15,0.4,30022.0,4.7795024e+16,0.747083267,2.04016223,1014970932000.0,2.123591218e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0014.sdf,3750.02525,D_rear20,0.4,18407.0,2.9303944e+16,0.93574327,2.22338423,1024607512000.0,3.496483313e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0015.sdf,4000.04263,D_rear02,0.4,4357.0,6936344000000000.0,0.543243032,1.12753813,64315037370.0,9.272181047e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0015.sdf,4000.04263,D_rear05,0.4,9635.0,1.533892e+16,0.569665531,1.28906797,163003731700.0,1.06268063e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0015.sdf,4000.04263,D_rear10,0.4,21904.0,3.4871168e+16,0.610020375,1.52348501,447647452300.0,1.283717977e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0015.sdf,4000.04263,D_rear15,0.4,28089.0,4.4717688e+16,0.700796181,1.92331651,813611837300.0,1.819440748e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0015.sdf,4000.04263,D_rear20,0.4,21856.0,3.4794752e+16,0.855473045,2.0225829,1003156121000.0,2.88306731e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0016.sdf,4250.01293,D_rear02,0.4,2698.0,4295216000000000.0,0.531958186,1.00530661,37414497510.0,8.710737133e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0016.sdf,4250.01293,D_rear05,0.4,6517.0,1.0375064e+16,0.556654087,1.26653503,103262178000.0,9.952919618e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0016.sdf,4250.01293,D_rear10,0.4,15938.0,2.5373296e+16,0.590883822,1.51341835,299517876900.0,1.180445288e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0016.sdf,4250.01293,D_rear15,0.4,24190.0,3.851048e+16,0.663524129,2.09178917,611647057000.0,1.588261317e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0016.sdf,4250.01293,D_rear20,0.4,23044.0,3.6686048e+16,0.786334208,2.06996706,873326449700.0,2.380541098e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0017.sdf,4500.03031,D_rear02,0.4,1787.0,2844904000000000.0,0.517736019,1.01497666,23035387120.0,8.0970701e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
