run_id,a0,thickness_um,gate,probe,weight_total,ddn_yield_total,E_max_MeV
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear15,5.09481392e+17,7689872378900.0,2.16919938
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear20,3.61782e+17,6826109909061.0,2.25098533
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear02,2.40162752e+17,410513677702.39996,4.53965333
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear05,2.41215064e+17,515390065536.50006,5.27939802
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear10,2.00399368e+17,566311036081.0,6.01519282
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear15,1.44940456e+17,547776660635.0,6.3328178
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear20,9.2714896e+16,487594636207.0,6.51045773
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear02,6.34641248e+17,933552402898.0,2.76204865
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear05,5.87046816e+17,1462374995628.0,3.50450241
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear10,4.62633608e+17,1792499340903.0,4.15142182
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear15,3.3648512e+17,1754712446391.0,4.33359226
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear20,2.227606e+17,1546878706669.0,4.35204115
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear02,1.012566128e+18,4476582177449.0,1.49577629
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear05,9.07986056e+17,6882509872208.0,1.66114197
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear10,7.13910112e+17,8479945593219.0,2.15669103
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear15,5.46934784e+17,8295191085060.2,2.22539404
