run_id,a0,thickness_um,grid,probe,gate,n_macro_total,weight_total,ddn_yield_total,last_window_ddn_frac,E_yield_weighted_mean_MeV,E_weighted_mean_MeV,E_max_MeV
pic2d_stage1_formal6ps_10nm_a0_10_t_1um_20260706_r002,10.0,1.0,10nm,D_rear10,Egt0p4,97430,1.61571416666633e+16,992073698284.9,3.1375099404219093e-06,4.109124934148697,0.8755746246503475,11.5489061
pic2d_stage1_formal6ps_10nm_a0_10_t_2um_20260706_r002,10.0,2.0,10nm,D_rear10,Egt0p4,70986,1.1771844998637e+16,390095917626.8492,2.208133906758714e-06,2.699537153129188,0.7030610703522958,8.60250874
