thickness_um,coarse_run,fine_run,coarse_ddn_yield_total,fine_ddn_yield_total,coarse_over_fine_ddn_yield,coarse_E_yield_weighted_mean_MeV,fine_E_yield_weighted_mean_MeV,coarse_E_max_MeV,fine_E_max_MeV,note
1.0,pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,pic2d_stage1_formal6ps_10nm_a0_10_t_1um_20260706_r002,395518470932.26996,992073698284.9,0.39867851714650177,1.7258726861691163,4.109124934148697,6.01519282,11.5489061,not a strict convergence test: old 10nm uses larger box and different PPC (16/48/8 vs 16/32/4)
2.0,pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,pic2d_stage1_formal6ps_10nm_a0_10_t_2um_20260706_r002,1367010367807.0,390095917626.8492,3.5042929342178604,0.5906647641837427,2.699537153129188,4.15142182,8.60250874,not a strict convergence test: old 10nm uses larger box and different PPC (16/48/8 vs 16/32/4)
