library,E_MeV,sigma_b
fendl32,4.2,0.068353
fendl32,4.2891,0.07365528
fendl32,4.289125,0.07365203
fendl32,4.3,0.07417357
fendl32,4.4,0.0793017
fendl32,4.5,0.08399976
fendl32,4.6,0.0885301
fendl32,4.7,0.09206139
fendl32,4.8,0.09448134
fendl32,4.861,0.09612403
fendl32,4.861008,0.09612336
fendl32,4.9,0.09713089
fendl32,5.0,0.101351
fendl32,5.1,0.1149802
fendl32,5.2,0.1418042
fendl32,5.29564,0.1722087
fendl32,5.3,0.1770849
fendl32,5.35,0.201976
fendl32,5.4,0.216084
fendl32,5.4329,0.2313538
fendl32,5.45,0.2400406
fendl32,5.5,0.2639226
fendl32,5.55,0.2876988
fendl32,5.6,0.311475
fendl32,5.7,0.3468784
fendl32,5.8,0.366389
fendl32,5.9,0.3716445
fendl32,6.0,0.373715
fendl32,6.0048,0.3737514
fendl32,6.25,0.3752311
fendl32,6.5,0.3768816
fendl32,6.5767,0.3776725
fendl32,6.75,0.3784501
fendl32,7.0,0.3797203
fendl32,7.1485,0.3802925
fendl32,7.148541,0.3802901
fendl32,7.25,0.3804757
fendl32,7.5,0.3805
fendl32,7.7204,0.3802131
fendl32,7.720424,0.3802117
fendl32,7.75,0.3801173
fendl32,8.0,0.379
fendl32,8.25,0.377067
fendl32,8.2923,0.3767331
fendl32,8.292307,0.3767328
fendl32,8.29288,0.3767281
fendl32,8.5,0.375033
fendl32,8.75,0.3728973
fendl32,8.8642,0.3718956
fendl32,8.86786,0.3718622
fendl32,9.0,0.3706594
fendl32,9.25,0.3683186
fendl32,9.4361,0.3665137
fendl32,9.5,0.3658743
fendl32,9.75,0.3633259
fendl32,9.97823,0.3609038
fendl32,10.0,0.3606727
fendl32,10.008,0.3605878
fendl32,10.0695,0.3598955
fendl32,10.131,0.3592033
fendl32,10.1925,0.358511
fendl32,10.254,0.3578187
fendl32,10.3155,0.3571264
fendl32,10.377,0.3564341
fendl32,10.4385,0.3557419
fendl32,10.5,0.3550496
fendl32,10.58,0.3540987
fendl32,10.685,0.352824
fendl32,10.79,0.3515494
fendl32,10.895,0.3502747
fendl32,11.0,0.349
fendl32,11.152,0.3470964
fendl32,11.4123,0.343817
fendl32,11.5,0.3427121
fendl32,11.612,0.3412498
fendl32,11.724,0.3397874
fendl32,11.862,0.3379671
fendl32,12.0,0.3361468
fendl32,12.1475,0.3340609
fendl32,12.295,0.3319749
fendl32,12.2955,0.3319531
fendl32,12.39775,0.3304556
fendl32,12.5,0.3289581
fendl32,12.5226,0.32859
fendl32,12.52265,0.3285892
fendl32,12.69483,0.325785
fendl32,12.867,0.322981
fendl32,12.86738,0.322964
fendl32,13.0,0.3208
fendl32,13.439,0.3127265
fendl32,13.43926,0.3127147
fendl32,13.5,0.3116122
fendl32,14.0,0.302352
fendl32,14.011,0.3021555
fendl32,14.01115,0.3021492
fendl32,14.5,0.2938782
fendl32,14.583,0.2923583
fendl32,14.58303,0.2923571
fendl32,15.0,0.285022
fendl32,15.155,0.2818184
fendl32,15.5,0.2749411
fendl32,15.727,0.2700987
fendl32,16.0,0.2644699
fendl32,16.299,0.2580166
fendl32,16.5,0.2538153
fendl32,16.871,0.2459084
fendl32,17.0,0.24324
fendl32,17.442,0.2347261
fendl32,17.44245,0.2347122
fendl32,17.5,0.2336388
fendl32,18.0,0.2251399
fendl32,18.014,0.2249143
fendl32,18.01433,0.2249058
fendl32,18.5,0.2172056
fendl32,18.586,0.2158905
fendl32,18.58621,0.2158855
fendl32,19.0,0.20962
fendl32,19.158,0.2072932
fendl32,19.1581,0.207291
fendl32,19.5,0.2022821
fendl32,19.73,0.1989978
fendl32,19.99999,0.1951518
fendl32,20.00001,0.03997108
fendl32,20.00002,0.03997104
fendl32,21.0,0.0358021
fendl32,22.0,0.03278606
fendl32,23.0,0.03116159
fendl32,24.0,0.02953743
fendl32,25.0,0.0291694
fendl32,26.0,0.02784717
fendl32,27.0,0.02743386
fendl32,28.0,0.0264794
