gate,ddn_yield_0to3ps,ddn_yield_3to4ps,ddn_yield_4to5ps,ddn_yield_0to5ps,frac_3to4_of_0to5,frac_4to5_of_0to5,last_250fs_yield_4p75to5ps,last_250fs_frac_of_0to5,last_250fs_frac_of_4to5,converged_by_10pct_last_window,decision
allE,134547.36966983,1313656.5725,2754043.4488,4202247.39096983,0.31260809997119743,0.6553739445988207,695479.5302,0.1655018054611705,0.2525303406171883,False,continue_restart_to_6ps
Egt0p4,83512.61651362991,614392.38684,1198730.5881,1896635.59145363,0.3239380245780973,0.6320299974868985,279035.2637,0.14712117865833166,0.2327756265419686,False,continue_restart_to_6ps
