gate,ddn_yield_0to5ps,ddn_yield_5to6ps,ddn_yield_0to6ps,frac_5to6_of_0to6,last_250fs_yield_5p75to6ps,last_250fs_frac_of_0to6,last_250fs_frac_of_5to6,converged_by_10pct_last_window,decision
allE,4202247.39096983,2257381.7544,6459629.14536983,0.3494599618026151,472391.4773,0.07312981390558675,0.209265214613892,True,accept_6ps_for_absolute_yield
Egt0p4,1896635.59145363,782431.9323,2679067.52375363,0.2920538304326641,149318.695,0.055735323457167,0.19083921404008886,True,accept_6ps_for_absolute_yield
