tally,case_A_mean,case_A_std,case_A_rel_err,case_B_mean,case_B_std,case_B_rel_err,B_minus_A_over_A
TPR_Li6,0.011196707503079151,9.043034283433964e-06,0.0008076512029047007,0.01073603638168181,9.473140100349593e-06,0.0008823684797224594,-0.041143445184278885
TPR_Li7,0.0,0.0,nan,7.147632146774457e-05,3.016711126390928e-07,0.004220574120832858,nan
TPR_mesh,0.011196707503079224,3.517999519235629e-06,0.00031419946607233766,0.010807512703149547,3.4646818735383443e-06,0.0003205808744993341,-0.034759754135101226
