li_case,tally,case_A_mean,case_A_std,case_A_rel_err,case_B_mean,case_B_std,case_B_rel_err,B_minus_A_over_A
li6_7p59,TPR_Li6,0.0111953386126951,9.184701435185907e-06,0.0008204040764582,0.0107360603421578,9.465016247269657e-06,0.0008816098220035,-0.0410240624626127
li6_7p59,TPR_Li7,0.0,0.0,,7.147324311568539e-05,3.016448865596388e-07,0.0042203889652999,
li6_7p59,TPR_mesh,0.0111953386126951,3.517406594463078e-06,0.0003141849225064,0.0108075335852735,3.464908810284228e-06,0.000320601253093,-0.0346398658261099
