source,metric,total_weight,E_mean_binned_MeV,E_p50_MeV,E_p90_MeV,E_p95_MeV,E_p99_MeV,frac_E_gt_0.5_MeV,frac_E_gt_0.6_MeV,frac_E_gt_0.8_MeV,frac_E_gt_1_MeV,frac_E_gt_1.2_MeV,l1,total_variation,js_distance,cosine_similarity
0to4ps,D_weighted,583997308159.9993,0.30934297639074915,0.28759907563310083,0.4434499466180992,0.4899721630484208,0.5801361978021947,0.04997463692418902,0.00804247213878087,0.00027260399624373535,3.096781397328834e-05,1.3084991819699297e-06,,,,
0to4ps,DD_yield_weighted,1448195.9802258122,0.4015837516314222,0.3847378701498743,0.5377582811775593,0.583464085958127,0.685689651992109,0.1869743591226264,0.044482825147180244,0.00312010001117967,0.0005400666608600655,3.282893600945705e-05,,,,
4to5ps,D_weighted,1357757195520.0,0.28120397359218113,0.2577548397096709,0.41999713997068827,0.46818179707709645,0.5598389799809342,0.03515501958486721,0.005259276477091454,2.6827300286226653e-05,0.0,0.0,,,,
4to5ps,DD_yield_weighted,2754043.448826528,0.3855449185874875,0.370915286559848,0.5241474098002745,0.5680898674683006,0.651668480166898,0.15799513801463094,0.033950812952184904,0.0003168812433041285,0.0,0.0,,,,
0to5ps,D_weighted,1941754503679.999,0.28966699085699316,0.2673480692939571,0.42747411014396774,0.4759452988419039,0.5664245735402791,0.039612131242248744,0.006096343558140477,0.00010074649479594512,9.313803555354301e-06,3.935409952966606e-07,,,,
0to5ps,DD_yield_weighted,4202239.429052341,0.39107229843670693,0.37572029936053736,0.5286544038349766,0.5736149326664143,0.6633243940847339,0.1679820966892199,0.03758040569243509,0.0012829399888540953,0.000186120372367241,1.1313665955180382e-05,,,,
0to4ps_vs_0to5ps,D_weighted_shape_distance,,,,,,,,,,,,0.17073680876945835,0.08536840438472917,0.0970577920371446,0.9842514301548264
0to4ps_vs_0to5ps,DD_yield_weighted_shape_distance,,,,,,,,,,,,0.06233169623762093,0.031165848118810464,0.04835415343603517,0.9983075757727893
4to5ps_fraction_of_0to5ps,D_weighted_total_fraction,0.6992424598201207,,,,,,,,,,,,,,
4to5ps_fraction_of_0to5ps,DD_yield_weighted_total_fraction,0.6553751863319222,,,,,,,,,,,,,,
