source,metric,total_weight,E_mean_binned_MeV,E_p50_MeV,E_p90_MeV,E_p95_MeV,E_p99_MeV,frac_E_gt_0.5_MeV,frac_E_gt_0.6_MeV,frac_E_gt_0.8_MeV,frac_E_gt_1_MeV,frac_E_gt_1.2_MeV,l1,total_variation,js_distance,cosine_similarity
0to5ps,D_weighted,308824056319.9996,0.4699659519995775,0.44448012697126255,0.5426649072024516,0.5780668887857948,0.6512456852791824,0.24906425735273427,0.03833121908007637,0.0006334511706472308,5.856124103641858e-05,2.47441863534163e-06,,,,
0to5ps,DD_yield_weighted,1896634.0453755518,0.4912698994439797,0.465212411595212,0.5800347534502991,0.6193080313022707,0.7068693353020528,0.3721861852071445,0.08326427702043208,0.002842520421593766,0.00041237389427784227,2.5066898530007245e-05,,,,
5to6ps,D_weighted,131355283199.99998,0.4647579627097938,0.4391690413917841,0.5336651296829973,0.569103133481372,0.6444941497659907,0.21712091683876789,0.03243452883058456,0.0002540310460843344,0.0,0.0,,,,
5to6ps,DD_yield_weighted,782431.9322365699,0.4843839112339603,0.45767952192697087,0.5707251556888816,0.6101610167066159,0.6910490771176925,0.33207209245099406,0.07183609483657875,0.0010368966542071512,0.0,0.0,,,,
0to6ps,D_weighted,440179339519.9996,0.4684118197479183,0.4428765288041834,0.5402377902819657,0.5755973498013895,0.6490934594988015,0.23953194594497582,0.036571569437025636,0.0005202272334036381,4.1085799301078514e-05,1.7360196887779653e-06,,,,
0to6ps,DD_yield_weighted,2679065.977612122,0.48925881905045904,0.4629939162322288,0.5775758429132334,0.6168953729184264,0.7024597275866891,0.3604707040030993,0.07992663071280592,0.0023151807797131257,0.0002919384493877107,1.7746010572819644e-05,,,,
0to5ps_vs_0to6ps,D_weighted_shape_distance,,,,,,,,,,,,0.02402728525054421,0.012013642625272105,0.01196201709334298,0.9997554210972098
0to5ps_vs_0to6ps,DD_yield_weighted_shape_distance,,,,,,,,,,,,0.02563121610985159,0.012815608054925796,0.013068057749147093,0.9996698839858854
5to6ps_fraction_of_0to6ps,D_weighted_total_fraction,0.2984131044024883,,,,,,,,,,,,,,
5to6ps_fraction_of_0to6ps,DD_yield_weighted_total_fraction,0.2920539989589802,,,,,,,,,,,,,,
