probe,n_windows,first_time_fs,last_time_fs,weight_cum,last_weight,last_weight_fraction,ddn_yield_cum,last_ddn_yield,last_ddn_yield_fraction,E_mean_weighted_cum,Emax_observed,last_E_mean,last_Emax
D_rear02,12,500.0259,3000.00904,1963145634680.0,531073369600.0,0.27052163640756427,772130.7383640001,246676.2893,0.31947476903025607,0.1594387298183081,1.00189187,0.169999388,0.549797598
D_rear05,11,750.014456,3000.00904,807774177240.0,318461387500.0,0.3942455657447701,722504.9258265899,274236.5288,0.3795635420564871,0.2104307718272428,1.09469638,0.208325082,0.64070894
D_rear10,9,1250.04036,3000.00904,35753263360.0,19470542080.0,0.5445808368302187,134547.36966983,54535.03932,0.40532222557620595,0.3703245205151215,1.30732421,0.335048214,0.796747487
D_rear15,6,1750.01747,3000.00904,4042661120.0,2059156480.0,0.509356688299414,38903.6172659,13449.42756,0.34571149176374305,0.549886671873858,1.35447434,0.479196829,0.754698228
D_rear20,4,2250.04337,3000.00904,367051520.0,270767360.0,0.7376821651630812,8961.6124396,5568.572529,0.6213806462320695,0.8274905873747399,1.3687635,0.774504504,0.974946962
