sdf,time_fs,probe,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight
0011.sdf,2750.02048,D_rear02,1772213,4.514180954e+11,0.163992788,0.527646131,1.859495633e+05,4.119231488e-07
0011.sdf,2750.02048,D_rear05,909489,2.316650381e+11,0.205142191,0.669760164,1.874233523e+05,8.090273519e-07
0011.sdf,2750.02048,D_rear10,30569,7.786535680e+09,0.354456528,0.697631112,2.427467173e+04,3.117518846e-06
0011.sdf,2750.02048,D_rear15,4978,1.267996160e+09,0.560772676,0.806472447,1.214436215e+04,9.577601678e-06
0011.sdf,2750.02048,D_rear20,295,7.514240000e+07,0.941998157,1.12304648,2.424883058e+03,3.227050318e-05
0012.sdf,3000.00904,D_rear02,2084930,5.310733696e+11,0.169999388,0.549797598,2.466762893e+05,4.644862714e-07
0012.sdf,3000.00904,D_rear05,1250241,3.184613875e+11,0.208325082,0.64070894,2.742365288e+05,8.611296050e-07
0012.sdf,3000.00904,D_rear10,76439,1.947054208e+10,0.335048214,0.796747487,5.453503932e+04,2.800899898e-06
0012.sdf,3000.00904,D_rear15,8084,2.059156480e+09,0.479196829,0.754698228,1.344942756e+04,6.531522828e-06
0012.sdf,3000.00904,D_rear20,1063,2.707673600e+08,0.774504504,0.974946962,5.568572529e+03,2.056589291e-05
