tally,case_A_mean,case_A_std,case_A_rel_err,case_B_mean,case_B_std,case_B_rel_err,B_minus_A_over_A
TPR_Li6,0.011221756358718705,8.638909154191061e-06,0.000769835743892184,0.010739915148608987,9.182631600498245e-06,0.0008550003862635323,-0.04293812792819666
TPR_Li7,0.0,0.0,nan,7.144850824371637e-05,3.0125231326799545e-07,0.0042163555359392615,nan
TPR_mesh,0.01122175635871871,3.528191741683409e-06,0.00031440637533911443,0.010811363656852705,3.470123665287596e-06,0.00032097002519086324,-0.03657116486468287
