source_id,E_low_MeV,E_high_MeV,placeholder_norm,pstar_norm
pic2d_a0_10_t_1um,0.0,0.1,0.0,0.0
pic2d_a0_10_t_1um,0.1,0.2,0.0,0.0
pic2d_a0_10_t_1um,0.2,0.30000000000000004,0.0,0.0
pic2d_a0_10_t_1um,0.30000000000000004,0.4,0.0,0.0
pic2d_a0_10_t_1um,0.4,0.5,0.0,0.0
pic2d_a0_10_t_1um,0.5,0.6000000000000001,0.0,0.0
pic2d_a0_10_t_1um,0.6000000000000001,0.7000000000000001,0.0,0.0
pic2d_a0_10_t_1um,0.7000000000000001,0.8,0.0,0.0
pic2d_a0_10_t_1um,0.8,0.9,0.0,0.0
pic2d_a0_10_t_1um,0.9,1.0,0.0,0.0
pic2d_a0_10_t_1um,1.0,1.1,0.0,0.0
pic2d_a0_10_t_1um,1.1,1.2000000000000002,0.0,0.0
pic2d_a0_10_t_1um,1.2000000000000002,1.3,0.0,0.0
pic2d_a0_10_t_1um,1.3,1.4000000000000001,0.0,0.0
pic2d_a0_10_t_1um,1.4000000000000001,1.5,0.0,0.0
pic2d_a0_10_t_1um,1.5,1.6,0.0,0.0
pic2d_a0_10_t_1um,1.6,1.7000000000000002,0.004322515979641894,0.003274414207755776
pic2d_a0_10_t_1um,1.7000000000000002,1.8,0.008478984894396246,0.006893316961501377
pic2d_a0_10_t_1um,1.8,1.9000000000000001,0.016116717447313973,0.014271581886971807
pic2d_a0_10_t_1um,1.9000000000000001,2.0,0.046944731885915976,0.04519752588485907
pic2d_a0_10_t_1um,2.0,2.1,0.04457658956654462,0.04536018308017279
pic2d_a0_10_t_1um,2.1,2.2,0.05002740935692696,0.054008447681237894
pic2d_a0_10_t_1um,2.2,2.3000000000000003,0.04759024930915064,0.056496384272577124
pic2d_a0_10_t_1um,2.3000000000000003,2.4000000000000004,0.05494431841130659,0.06000475696569048
pic2d_a0_10_t_1um,2.4000000000000004,2.5,0.05096164338131868,0.06058564783491269
pic2d_a0_10_t_1um,2.5,2.6,0.05436812079574579,0.062245192335149975
pic2d_a0_10_t_1um,2.6,2.7,0.053266470932734844,0.05501572263667944
pic2d_a0_10_t_1um,2.7,2.8000000000000003,0.05203155053295708,0.05706336084358771
