source_id,Y_placeholder,Y_pstar,Y_ratio_pstar_over_placeholder,E_mean_placeholder_MeV,E_mean_pstar_MeV,E_mean_shift_MeV,E_p90_placeholder_MeV,E_p90_pstar_MeV,frac_E_gt_3p1454_placeholder,frac_E_gt_3p1454_pstar,frac_E_gt_3p1454_delta,normalized_spectrum_total_variation
pic2d_a0_10_t_1um,395518193719.50397,81317610815.37402,0.2055976491262077,3.0758510188695816,2.972407142575683,-0.10344387629389873,4.586577657016382,4.293738854812136,0.34772265775817107,0.29990547726222894,-0.047817180495942135,0.09067690940205418
pic2d_a0_10_t_2um,1367008411335.6963,324583508387.0141,0.23744075434756495,2.682053468865432,2.6631856563746634,-0.018867812490768632,3.304102401364304,3.2660323570427803,0.17860530019629695,0.15785413678169077,-0.020751163414606172,0.031097132769886914
pic2d_a0_05_t_3um,7507302090076.475,1635224061485.1792,0.21781780483386964,2.7492802466596102,2.7288918994874325,-0.020388347172177745,3.4828878650322497,3.441409059895295,0.24940028397414776,0.22739572152242485,-0.022004562451722914,0.028285769371091226
pic2d_a0_10_t_3um,8060015782973.083,1748343226585.8806,0.21691560831422746,2.756170071540481,2.7352293080275474,-0.020940763512933724,3.497994276554242,3.4551627176061257,0.2558506301583501,0.2328486821891058,-0.02300194796924429,0.028326232799849853
pic2d_a0_15_t_3um,10827489548304.078,2268743045143.789,0.2095354638785262,2.8221895160309622,2.7917097805153466,-0.03047973551561567,3.637548125165734,3.578378827892854,0.29366955558229907,0.2686882196500359,-0.02498133593226315,0.030806344033073564
pic2d_a0_20_t_3um,18174938224692.023,3535601271996.524,0.19453168028891252,3.127103700321202,3.0442049166893237,-0.08289878363187819,4.282461167715448,4.095639347780562,0.3856626485438041,0.35267692328251754,-0.03298572526128657,0.039689462074717484
pic2d_a0_10_t_4um,24527587359530.72,4935490997643.416,0.20122203318646525,2.8568872106801524,2.831928005175827,-0.02495920550432551,3.747250499832985,3.699979944562333,0.32926174018321636,0.3079576040917092,-0.021304136091507164,0.026435004576697424
