run_id,job_id,state,partition,nodes,tasks,walltime_h,a0,target_thickness_um,dx_nm,dy_nm,ppc,source_planes,t_end_ps,notes
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,1937305,COMPLETED,amd_m9_768,1,64,18,5.0,3,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 02:44:09; cost about 17.51 CNY
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,1937306,COMPLETED,amd_m9_768,1,64,18,10.0,1,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 00:20:55; cost about 2.23 CNY
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,1937307,COMPLETED,amd_m9_768,1,64,18,10.0,2,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 02:23:43; cost about 15.33 CNY
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,1937308,COMPLETED,amd_m9_768,1,64,18,10.0,3,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 02:21:14; cost about 15.06 CNY
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,1937309,COMPLETED,amd_m9_768,1,64,18,15.0,3,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 02:10:46; cost about 13.95 CNY
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,1937310,COMPLETED,amd_m9_768,1,64,18,20.0,3,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 02:03:53; cost about 13.21 CNY
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,1937311,COMPLETED,amd_m9_768,1,64,18,10.0,4,16,40,16/32/4,rear+2/5/10/15/20,6,3D-matched coarse 2D scan; x=-6..26um y=-10..10um nx=2000 ny=500; final Data/0023.sdf at 6.000040ps restartable; elapsed 02:18:41; cost about 14.79 CNY
