# Provisional D-in-CD2 stopping table for pipeline use.
# Method: PSTAR-style same-velocity seed, S_D(E_D) ~= S_p(E_D/2) in polyethylene, scaled to rho_CD2=1.06 g/cm3.
# Replace with SRIM or exported NIST PSTAR-derived table before final absolute yields.
E_MeV,S_MeV_cm
0.010,1270.0
0.020,1060.0
0.050,795.0
0.100,583.0
0.200,350.0
0.500,159.0
1.000,90.0
2.000,49.8
3.000,35.0
5.000,23.3
7.500,17.0
10.000,13.8
15.000,10.4
20.000,8.5
